"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","Get Request for All Products @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","3150","Alerts Handling @smoke","chromium","2026-05-12","passed","2026-05-12","","alert.spec.ts","",""
"","21","Get Request for All Products Using Path Parameters @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","11096","Chart Automation @smoke","chromium","2026-05-12","passed","2026-05-12","","chart.spec.ts","",""
"","482","Post Request with Headers and Body @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","22","Get Request for Search Products Using Query Parameters @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","32","Adding Products to the Cart @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","59","Post Request with Headers and Request Body @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","19","Get Request for All Products Using Both Query and Path Parameters @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","57","Get All Products Schema Validation @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","32","Deleting a Product from the Cart @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","58","Updating a Product to the Cart @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
"","45","Get Request for all Products Schema Validation using Schema Validator Utility @smoke","chromium","2026-05-12","passed","2026-05-12","","dummyJsonAPIs.spec.ts","",""
